query-id	corpus-id	score
2f671f98cc9ba4051f126197b0039622<::>1	806502664_349-964-0-615	1
2f671f98cc9ba4051f126197b0039622<::>1	806502664_5333-5957-0-624	1
709075ff95308941d87f8c41d96e8a88<::>1	855533381_55716-57147-0-1431	1
33dde7d1fa46466592c9c673bbf50d74<::>3	842831882_20284-20861-0-577	1
33dde7d1fa46466592c9c673bbf50d74<::>3	842831882_2117-2756-0-639	1
33dde7d1fa46466592c9c673bbf50d74<::>3	842831882_4658-5764-0-1106	1
56d630ac3c6de3bbc07db1bc92d9c40e<::>3	836413300_2341-3664-0-1323	1
e0c971c3ae134db826fa789be1817554<::>8	834324633_34077-35207-0-1130	1
4dcfcef942ea3e5c17c6e47c2aee6aba<::>5	818287024_330-644-0-314	1
4dcfcef942ea3e5c17c6e47c2aee6aba<::>5	818287024_15044-15245-0-201	1
4dcfcef942ea3e5c17c6e47c2aee6aba<::>5	818287024_13250-13515-0-265	1
4dcfcef942ea3e5c17c6e47c2aee6aba<::>5	818287024_15246-15409-0-163	1
29a118f489b6211144d1054bf8b0dc72<::>11	855126315_25614-25765-0-151	1
f54aec0cedecf6bca740f83ec70a2758<::>5	817724839_25884-27060-0-1176	1
f54aec0cedecf6bca740f83ec70a2758<::>5	817724839_22016-22699-0-683	1
f54aec0cedecf6bca740f83ec70a2758<::>5	817724839_1773-2290-0-517	1
08ec067fb5319f2225b9699b3afaa118<::>6	844523896_35724-36436-0-712	1
08ec067fb5319f2225b9699b3afaa118<::>6	833606891_3826-4105-0-279	1
08ec067fb5319f2225b9699b3afaa118<::>6	844523896_38752-38989-0-237	1
08ec067fb5319f2225b9699b3afaa118<::>6	844523896_24223-24757-0-534	1
1059dfb42fd753c2fe72ee3fb95a100b<::>2	853752917_1130-1762-0-632	1
1059dfb42fd753c2fe72ee3fb95a100b<::>2	821378931_12872-14017-0-1145	1
6cde1823d6e022c5a9dbe9dd7e05c9d4<::>9	833351045_49500-50104-0-604	1
d828b2730590e438434b11957ba073cb<::>1	826581678_25337-25634-0-297	1
d828b2730590e438434b11957ba073cb<::>1	826581678_736-1831-0-1095	1
d828b2730590e438434b11957ba073cb<::>1	826581678_27309-27618-0-309	1
d828b2730590e438434b11957ba073cb<::>1	826581678_26905-27308-0-403	1
a331ee619c7bda8d9e47a75459b95733<::>5	818264355_13360-13840-0-480	1
a331ee619c7bda8d9e47a75459b95733<::>5	818264355_15598-16092-0-494	1
cf6a15355abaee3ccd7a059d33d342a8<::>6	838023554_18038-18408-0-370	1
cf6a15355abaee3ccd7a059d33d342a8<::>6	846629971_106178-107448-0-1270	1
f733c9e975d1566dbb0cb1559d3200eb<::>2	836285813_261-488-0-227	1
f733c9e975d1566dbb0cb1559d3200eb<::>2	836285813_489-1020-0-531	1
eb7e63bd2935e14bd5c2d293568c3aed<::>3	824332464_6131-6934-0-801	1
eb7e63bd2935e14bd5c2d293568c3aed<::>3	842302796_52956-53565-0-608	1
203b3547bf1f92479324ce711a6b881d<::>1	852859365_48601-49049-0-448	1
203b3547bf1f92479324ce711a6b881d<::>1	852859365_40021-40086-0-65	1
203b3547bf1f92479324ce711a6b881d<::>1	852859365_1626-2287-0-661	1
63e17eb897a8eb79691a26ba63a680c1<::>3	825555891_17980-18890-0-907	1
e73740b57b77aa41d52e3e3581bd6f92<::>7	835378058_29087-29712-0-625	1
e73740b57b77aa41d52e3e3581bd6f92<::>7	835378058_34005-34362-0-357	1
e73740b57b77aa41d52e3e3581bd6f92<::>7	835378058_32355-34004-0-1649	1
e73740b57b77aa41d52e3e3581bd6f92<::>7	835378058_35433-35671-0-238	1
6f8f49e86a8689ca5009ce3518e5c359<::>4	802054865_44649-45050-0-401	1
6f8f49e86a8689ca5009ce3518e5c359<::>4	802054865_67218-67478-0-260	1
6f8f49e86a8689ca5009ce3518e5c359<::>4	802054865_58394-59030-0-636	1
e68027791679f1e6dbba964865aaf8a7<::>3	826764098_150-389-0-239	1
e68027791679f1e6dbba964865aaf8a7<::>3	826764098_390-893-0-503	1
e6ebbc1e58f2612687efbe78cef29093<::>2	842629338_6999-7860-0-861	1
e6ebbc1e58f2612687efbe78cef29093<::>2	842629338_327-1288-0-961	1
e6ebbc1e58f2612687efbe78cef29093<::>2	842629338_6380-6998-0-618	1
207a61018da774f24e1c43efde47ae98<::>9	815964857_29044-30379-0-1322	1
bcfda7169ecea56bc4f51b76e1457084<::>3	853705998_550-903-0-353	1
bcfda7169ecea56bc4f51b76e1457084<::>3	853705998_126-549-0-423	1
d5c07b98eb494a29a224ac04bb196f66<::>4	816180083_40036-41347-0-1311	1
d5c07b98eb494a29a224ac04bb196f66<::>4	850499257_151450-151650-0-200	1
d5c07b98eb494a29a224ac04bb196f66<::>4	815773306_795-1317-0-522	1
d5c07b98eb494a29a224ac04bb196f66<::>4	815746984_929-1728-0-799	1
d5c07b98eb494a29a224ac04bb196f66<::>4	824249041_372-1051-0-679	1
d5c07b98eb494a29a224ac04bb196f66<::>4	814885241_705-1335-0-630	1
d5fa755f87742e5b2e3b53abcf47579d<::>7	818532751_1986-2845-0-859	1
ecbd404434d0fa0aeee3c36ce31ebff9<::>1	836631991_2254-2857-0-603	1
b5bfacc9bb03186f51cdd361680d4494<::>3	833930422_352-1399-0-1047	1
b5bfacc9bb03186f51cdd361680d4494<::>3	841082059_126-494-0-366	1
b5bfacc9bb03186f51cdd361680d4494<::>3	833930422_1400-1933-0-533	1
b5bfacc9bb03186f51cdd361680d4494<::>3	841082059_495-1115-0-620	1
9c20e78615fa38040da42b2a6a214afb<::>6	842051688_47975-48860-0-885	1
93e672ac43aacab49108299d419b7798<::>5	818021035_33608-33996-0-388	1
93e672ac43aacab49108299d419b7798<::>5	818021035_52756-52898-0-142	1
93e672ac43aacab49108299d419b7798<::>5	846499272_1121-1713-0-592	1
93e672ac43aacab49108299d419b7798<::>5	846499272_66983-67197-0-214	1
3a44984a1b74e5be70f01e8a60c3ea14<::>2	813934834_132-982-0-774	1
3a44984a1b74e5be70f01e8a60c3ea14<::>2	813934834_1840-2199-0-359	1
3a44984a1b74e5be70f01e8a60c3ea14<::>2	813934834_1189-1452-0-263	1
405bb3e019f151a378cfe81ab517ae80<::>3	836785849_379-576-0-197	1
405bb3e019f151a378cfe81ab517ae80<::>3	836785849_577-870-0-293	1
e3f20d7329a896fccbf14f2e297d47ea<::>8	816573975_52091-52841-0-750	1
e3f20d7329a896fccbf14f2e297d47ea<::>8	816573975_54078-54610-0-532	1
e3f20d7329a896fccbf14f2e297d47ea<::>8	816573975_3847-4217-0-370	1
4b1bc5043b1c37031b78cbfe28332583<::>6	845305320_2706-3255-0-549	1
4b1bc5043b1c37031b78cbfe28332583<::>6	845305320_26090-26892-0-802	1
585e48f3470b067968f7a204a108ea29<::>7	854251068_6670-7077-0-407	1
fc27e1775e1cb21e30dac1e2bc947490<::>6	802347280_5163-5906-0-743	1
fc27e1775e1cb21e30dac1e2bc947490<::>6	866343245_56952-57401-0-449	1
fc27e1775e1cb21e30dac1e2bc947490<::>6	827285264_14791-15427-0-636	1
10fda533e150a62f896a5e37f5539f9e<::>2	844747430_2595-3189-0-594	1
10fda533e150a62f896a5e37f5539f9e<::>2	844747430_572-1428-0-856	1
fdb7271f306731dcda8599b945e3d220<::>2	866493429_14682-15904-0-1221	1
fdb7271f306731dcda8599b945e3d220<::>2	815919141_32303-32920-0-617	1
4b2632f63347fd8fe378dc9c8ab865a4<::>2	866505251_41718-43053-0-1335	1
679d6cbfe6731c55cdb13c7acfb0c628<::>1	822291943_54932-55938-0-1006	1
ee06e2cc82ff4982cf3e8d121e9cab21<::>4	866229569_46555-47114-0-559	1
ba9314dad82668c43b89dfa4afbe7416<::>3	817828232_972-1304-0-332	1
5f07a39c4dc2e15fe7ccb046b4c56c25<::>3	837276776_5495-6381-0-886	1
515b4ce8ec48e18c11ab92ddbd866352<::>2	837288933_50150-50825-0-675	1
515b4ce8ec48e18c11ab92ddbd866352<::>2	837288933_51481-52576-0-1095	1
54a38e9ec473b239641abdc43066a2db<::>2	856305076_500-769-0-269	1
54a38e9ec473b239641abdc43066a2db<::>2	856305076_3485-4160-0-675	1
54a38e9ec473b239641abdc43066a2db<::>2	856305076_25647-26101-0-453	1
54a38e9ec473b239641abdc43066a2db<::>2	812271701_16785-18043-0-1256	1
54a38e9ec473b239641abdc43066a2db<::>2	856305076_9344-9597-0-253	1
bcde3d557842137da8262778561ec609<::>2	865309722_2118-2643-0-525	1
bcde3d557842137da8262778561ec609<::>2	865309722_18957-19808-0-851	1
bcde3d557842137da8262778561ec609<::>2	865309722_2644-3137-0-493	1
bcde3d557842137da8262778561ec609<::>2	865309722_11419-11640-0-221	1
bcde3d557842137da8262778561ec609<::>2	865309722_9265-9446-0-181	1
eda35cc4298b7ef3749b875358ba7288<::>1	815397492_6393-7415-0-1022	1
eda35cc4298b7ef3749b875358ba7288<::>1	866483017_4701-5879-0-1178	1
eda35cc4298b7ef3749b875358ba7288<::>1	863239016_35716-36228-0-512	1
eda35cc4298b7ef3749b875358ba7288<::>1	856031634_32700-33542-0-842	1
eda35cc4298b7ef3749b875358ba7288<::>1	849029579_1100-1396-0-296	1
de5a04daeae1f567482a5028d5853ba9<::>4	802867019_14721-15520-0-799	1
de5a04daeae1f567482a5028d5853ba9<::>4	802867019_5167-5794-0-627	1
3919b9024d9d1f9fd30ac14909c9ddbf<::>4	808946175_241-1430-0-1189	1
3919b9024d9d1f9fd30ac14909c9ddbf<::>4	808946175_16371-16811-0-440	1
f2f70b2170e0206eb047a210cee4766c<::>1	866229569_47115-48106-0-991	1
f2f70b2170e0206eb047a210cee4766c<::>1	866229569_12101-12772-0-671	1
675c89e667a5e3a2d50f1baa0b9de8fb<::>2	827618184_1971-2297-0-326	1
675c89e667a5e3a2d50f1baa0b9de8fb<::>2	827618184_2978-3649-0-671	1
ad559061d042f24492083471c1da01cd<::>6	807418182_7277-7884-0-607	1
f5155cffc93f9683a5a5fecebdfa5763<::>5	801120865_88-1003-0-915	1
17f3f4a2c239d31dee6e40bbd9590c58<::>2	843537822_26733-27591-0-858	1
17f3f4a2c239d31dee6e40bbd9590c58<::>2	843537822_3963-5068-0-1096	1
17f3f4a2c239d31dee6e40bbd9590c58<::>2	843537822_5747-6315-0-568	1
1cb151e1dae5c05d68c598739ef92c11<::>4	843340109_116686-117067-0-381	1
bb448cc23c492c85e92d7e682944ce19<::>9	835677559_63006-63471-0-465	1
763966e5e91a3c30e5979134385b25a4<::>2	810202524_100-603-0-499	1
2c91fbe8e83e03b41b2653bca3f11c81<::>7	815169572_29453-30351-0-898	1
2c91fbe8e83e03b41b2653bca3f11c81<::>7	840595192_38449-39764-0-1315	1
f77868d59f9f04ea696c58bdfd0bb786<::>3	846590504_20236-20392-0-156	1
f77868d59f9f04ea696c58bdfd0bb786<::>3	846590504_34751-35394-0-643	1
0a9e33916c28b9949294610e2dffb52d<::>5	866229569_58382-58791-0-409	1
0a9e33916c28b9949294610e2dffb52d<::>5	866229569_57779-58381-0-602	1
0a9e33916c28b9949294610e2dffb52d<::>5	866229569_5443-5964-0-521	1
0a9e33916c28b9949294610e2dffb52d<::>5	866229569_56953-57472-0-519	1
0707a5be154d6c4de3eb6ebee232a086<::>8	846074941_66130-66539-0-408	1
86d34cc8a34e547bc7af48a0acaff9b1<::>6	856136637_56976-57344-0-368	1
86d34cc8a34e547bc7af48a0acaff9b1<::>6	856136637_58402-58911-0-509	1
86d34cc8a34e547bc7af48a0acaff9b1<::>6	856136637_57345-57823-0-478	1
888924cec3045ead9b762cc9b2662704<::>4	801290974_10919-11355-0-436	1
8b204def9cdbf61ee204c203d18df655<::>5	803302492_842-1710-0-868	1
8b204def9cdbf61ee204c203d18df655<::>5	807294979_33324-33809-0-485	1
3f66e734e4892d3b6b692c3d768df675<::>6	812838483_2116-2317-0-201	1
3f66e734e4892d3b6b692c3d768df675<::>6	812838483_2362-2805-0-443	1
90bfa63eea5434c009fee9b1bb35e59e<::>7	822656269_11718-12024-0-306	1
90bfa63eea5434c009fee9b1bb35e59e<::>7	822656269_5892-6220-0-328	1
90bfa63eea5434c009fee9b1bb35e59e<::>7	822656269_10417-10916-0-499	1
90bfa63eea5434c009fee9b1bb35e59e<::>7	822656269_10941-11717-0-776	1
c4a3e249f847fe15dad10646b9d3d139<::>2	854641588_1992-2276-0-284	1
c4a3e249f847fe15dad10646b9d3d139<::>2	854641588_23340-23533-0-193	1
2769ec41f3c0029813f5ce43c28b1a72<::>3	865179918_3818-4058-0-240	1
2769ec41f3c0029813f5ce43c28b1a72<::>3	827756887_11947-12745-0-798	1
fa5fa17655bc39c90a710223f1da34e1<::>3	843368601_4682-5091-0-409	1
3e4955e186c0b12c2fb44aecb52c46a8<::>2	800930494_27009-27380-0-371	1
3e4955e186c0b12c2fb44aecb52c46a8<::>2	800930494_28141-29213-0-1072	1
3f9ccd2a425913086e0727b0b290a597<::>4	826581678_4542-4677-0-135	1
7ee6be1ef115d43fc17ca9d57ece2de8<::>3	850224534_8018-8529-0-511	1
7ee6be1ef115d43fc17ca9d57ece2de8<::>3	850224534_70882-71631-0-749	1
2401e1215e85ebfc87d46eab093741a2<::>7	836673208_15467-15830-0-363	1
2401e1215e85ebfc87d46eab093741a2<::>7	836673208_6933-7836-0-903	1
9e546a01f75a8a67b1e4088f4c8cac34<::>1	836673208_6252-6900-0-648	1
9e546a01f75a8a67b1e4088f4c8cac34<::>1	836673208_19223-19513-0-290	1
9e546a01f75a8a67b1e4088f4c8cac34<::>1	836673208_18733-19222-0-489	1
f6bf20fa3b194610b15590e65980dac7<::>5	842302796_2799-3431-0-632	1
f6bf20fa3b194610b15590e65980dac7<::>5	842302796_11828-12848-0-1020	1
f6bf20fa3b194610b15590e65980dac7<::>5	842302796_15834-16563-0-729	1
0deb30ba6a17b281d72522da1efff4e4<::>5	854736235_10767-11531-0-763	1
2ea23a95b244bf2ae328c32b2c01b0d6<::>8	837276776_7652-8353-0-700	1
2ea23a95b244bf2ae328c32b2c01b0d6<::>8	837276776_10268-10676-0-406	1
2ea23a95b244bf2ae328c32b2c01b0d6<::>8	819151867_17461-18060-0-597	1
c7217f0b371f600bad7cdfd7547dbb4c<::>4	807879646_25832-26343-0-511	1
bab80d8990f7e0a52e9262db4ab7906f<::>4	801131598_1981-2287-0-306	1
66bc2d9f81c15c1ed843b4233e5d3c07<::>7	816075104_34441-35096-0-655	1
66bc2d9f81c15c1ed843b4233e5d3c07<::>7	816075104_40771-40958-0-187	1
66bc2d9f81c15c1ed843b4233e5d3c07<::>7	816075104_144-1036-0-892	1
66bc2d9f81c15c1ed843b4233e5d3c07<::>7	816075104_1105-1371-0-250	1
91014c2d515e70372a36a2965c5ed5be<::>7	856871367_26792-27157-0-365	1
91014c2d515e70372a36a2965c5ed5be<::>7	836236385_68321-68566-0-245	1
b3023c9da0f35459b2b7a1c8ba2cac83<::>6	814064089_1506-2510-0-1004	1
fbe3d113b75e73ebe08e399101796a08<::>3	800397598_23245-23551-0-306	1
fbe3d113b75e73ebe08e399101796a08<::>3	800397598_14977-16360-0-1383	1
