query-id	corpus-id	score
b3b321e9ea81d1d90e528f85fff72d63<::>8	ibmcld_00691-7371-8668	1
4cf48876b0ee5af5b8f1e35df5183165<::>7	ibmcld_03080-9575-11239	1
4cf48876b0ee5af5b8f1e35df5183165<::>7	ibmcld_03421-9438-11232	1
6a618ed660ae299ab1ce599e600214c1<::>5	ibmcld_15758-3961-6028	1
588481edb644142e9149a89eef662632<::>6	ibmcld_16288-1733-3996	1
588481edb644142e9149a89eef662632<::>6	ibmcld_16288-6287-8401	1
e46e16fa1806c08152b84a4bedddfded<::>4	ibmcld_01623-1601-3527	1
e46e16fa1806c08152b84a4bedddfded<::>4	ibmcld_07578-306636-308961	1
e46e16fa1806c08152b84a4bedddfded<::>4	ibmcld_16727-306610-308935	1
178381df2725fbcdc403a5148c881eb5<::>4	ibmcld_03647-0-472	1
178381df2725fbcdc403a5148c881eb5<::>4	ibmcld_14112-7-1387	1
33720e2cc99d142aa6cec9c6ef451d04<::>6	ibmcld_16707-7-1749	1
33720e2cc99d142aa6cec9c6ef451d04<::>6	ibmcld_16705-1462-3096	1
33720e2cc99d142aa6cec9c6ef451d04<::>6	ibmcld_16706-7-1805	1
058e2864f7b01df9deb5473061ce7acb<::>2	ibmcld_10832-7-1587	1
058e2864f7b01df9deb5473061ce7acb<::>2	ibmcld_03006-7-2202	1
058e2864f7b01df9deb5473061ce7acb<::>2	ibmcld_16233-7-2298	1
98f69b09b07f63bd70e90e85ed8a24e9<::>4	ibmcld_07578-859295-861428	1
98f69b09b07f63bd70e90e85ed8a24e9<::>4	ibmcld_16727-859172-861305	1
98f69b09b07f63bd70e90e85ed8a24e9<::>4	ibmcld_13828-6582-8739	1
e672c9396a15db3da8f27a2a4e476292<::>3	ibmcld_08597-9276-11205	1
e672c9396a15db3da8f27a2a4e476292<::>3	ibmcld_08597-10745-12722	1
e672c9396a15db3da8f27a2a4e476292<::>3	ibmcld_08733-10283-12268	1
e0e1bb82aa8906246e0619d180b9b83b<::>5	ibmcld_00589-7-2227	1
