query-id	corpus-id	score
18ef26058d321c5d96ca3ebf8117789e<::>7	162428-0-349	1
18ef26058d321c5d96ca3ebf8117789e<::>7	181880-0-671	1
18ef26058d321c5d96ca3ebf8117789e<::>7	295295-0-526	1
18ef26058d321c5d96ca3ebf8117789e<::>7	485187-0-819	1
fa60731970330a3f86312cd7c38762c0<::>2	416727-0-1356	1
fa60731970330a3f86312cd7c38762c0<::>2	418610-0-264	1
1dd9e5b32504099bc30a1b5fb64fded5<::>5	86691-0-241	1
1dd9e5b32504099bc30a1b5fb64fded5<::>5	469149-0-1669	1
1dd9e5b32504099bc30a1b5fb64fded5<::>5	412917-0-536	1
1dd9e5b32504099bc30a1b5fb64fded5<::>5	89281-1598-2366	1
132020691f5aa996948ace2b9e4ff27c<::>10	182856-0-1214	1
c52af91a8935312716dc88b9f1bb971b<::>4	319043-0-1298	1
5369aec525b2b809fd6e54df51a48dd2<::>8	476980-0-275	1
2d64c103fa6195ad05629d3727b0bdff<::>4	571217-0-652	1
e843c863a265a39dad5962a480298ee1<::>5	251392-0-1152	1
e843c863a265a39dad5962a480298ee1<::>5	346374-0-972	1
e843c863a265a39dad5962a480298ee1<::>5	243949-0-1007	1
e35f796b136bd61857041da03bea6f7a<::>4	148263-0-426	1
e35f796b136bd61857041da03bea6f7a<::>4	381512-0-560	1
e35f796b136bd61857041da03bea6f7a<::>4	384361-0-849	1
e35f796b136bd61857041da03bea6f7a<::>4	84422-0-1980	1
18a976a38246665dcf5739debdcb99fa<::>2	324012-0-1056	1
18a976a38246665dcf5739debdcb99fa<::>2	365197-0-205	1
18a976a38246665dcf5739debdcb99fa<::>2	378161-0-613	1
cd1005bf8ef8a09b9f4e695c214f5bec<::>2	185123-0-2243	1
cd1005bf8ef8a09b9f4e695c214f5bec<::>2	293134-0-650	1
a06dfd31abd6a1fa4ef4058fdbcb8b95<::>1	314455-0-367	1
a06dfd31abd6a1fa4ef4058fdbcb8b95<::>1	488954-1532-2387	1
a06dfd31abd6a1fa4ef4058fdbcb8b95<::>1	342756-0-176	1
0f777191ec2e37b6b28c5c9b73ec74fe<::>6	568625-0-263	1
b70aff215d03a115fd20545dfa20eed9<::>5	503509-0-616	1
b70aff215d03a115fd20545dfa20eed9<::>5	484868-0-288	1
b70aff215d03a115fd20545dfa20eed9<::>5	349466-0-303	1
b70aff215d03a115fd20545dfa20eed9<::>5	565469-0-367	1
e64889ce71356d05800b5eaaf36a8149<::>1	185146-0-865	1
e64889ce71356d05800b5eaaf36a8149<::>1	282744-0-770	1
e64889ce71356d05800b5eaaf36a8149<::>1	510485-0-215	1
e64889ce71356d05800b5eaaf36a8149<::>1	473605-0-308	1
e64889ce71356d05800b5eaaf36a8149<::>1	426216-0-446	1
e64889ce71356d05800b5eaaf36a8149<::>1	57622-0-390	1
7e588c26d2ae4f6a3b9c68756796ad9c<::>4	151132-0-1835	1
7e588c26d2ae4f6a3b9c68756796ad9c<::>4	241135-0-1344	1
14b7f348c4c07c4c22302d3b547f2ab7<::>1	427592-0-2017	1
14b7f348c4c07c4c22302d3b547f2ab7<::>1	549402-0-2023	1
14b7f348c4c07c4c22302d3b547f2ab7<::>1	252574-0-829	1
14b7f348c4c07c4c22302d3b547f2ab7<::>1	378161-0-613	1
0bd9ff7769fa0df04aceeb870d67458a<::>4	498356-0-1528	1
0bd9ff7769fa0df04aceeb870d67458a<::>4	508492-0-499	1
0bd9ff7769fa0df04aceeb870d67458a<::>4	560245-0-366	1
540b8a1aa946fb1feffb9e297756cf6b<::>6	115862-0-2313	1
540b8a1aa946fb1feffb9e297756cf6b<::>6	479213-5737-7319	1
540b8a1aa946fb1feffb9e297756cf6b<::>6	276854-0-1194	1
c81367c64cf90ea97ede7d71f49f4724<::>9	483488-0-287	1
c81367c64cf90ea97ede7d71f49f4724<::>9	435963-0-941	1
5cfb768c0a25c561898adac7afc988a2<::>5	122701-0-205	1
5cfb768c0a25c561898adac7afc988a2<::>5	108739-0-242	1
bb20ce5e9eb61c94b2270265ddc05070<::>4	405206-0-1604	1
bb20ce5e9eb61c94b2270265ddc05070<::>4	329662-0-1543	1
011e67625de275a8bd167a3aae37cfac<::>9	94680-0-214	1
011e67625de275a8bd167a3aae37cfac<::>9	21225-0-1378	1
011e67625de275a8bd167a3aae37cfac<::>9	208783-0-945	1
3651b79de3a4e2f03019f0bc7832b985<::>3	414940-0-474	1
3651b79de3a4e2f03019f0bc7832b985<::>3	320442-0-1684	1
3651b79de3a4e2f03019f0bc7832b985<::>3	172691-0-259	1
e2ed9221b777498bf286c7e3740a948d<::>1	571913-0-595	1
e2ed9221b777498bf286c7e3740a948d<::>1	576890-0-577	1
