query-id	corpus-id	score
a51f309e782dea735f433c8f91dc14cf<::>1	2ec3def5abce1bd5-2-2124	1
0ef59963ea0550e66c84b267475e4b0f<::>5	39c95be13937c2db-3174-5508	1
0ef59963ea0550e66c84b267475e4b0f<::>5	39c95be13937c2db-1563-3728	1
0ef59963ea0550e66c84b267475e4b0f<::>5	352b36dc29266a01-2-1882	1
0ef59963ea0550e66c84b267475e4b0f<::>5	b157d4efc4fcd23b-1567-3672	1
0ef59963ea0550e66c84b267475e4b0f<::>5	f402b041ec0c80e9-2-1854	1
0ef59963ea0550e66c84b267475e4b0f<::>5	b25e4cbcb83a5f6b-2-1859	1
604714e71484ab3b30af0df19e98a994<::>5	2946b6131be9cbab-9313-11343	1
51f55cebb21e65e97fcae30baaea464f<::>6	e7938c21a9f53428-2-1730	1
51f55cebb21e65e97fcae30baaea464f<::>6	906aca41d57de7da-1666-4067	1
51f55cebb21e65e97fcae30baaea464f<::>6	4eadefd15b981784-1290-3848	1
e90eff3b954acda16b88cacac8585e01<::>5	9060ac11354f286a-2-1937	1
e90eff3b954acda16b88cacac8585e01<::>5	98725809e2754974-77-2147	1
e01f273aa1617843e68501ccee4ef18a<::>3	2435e097253a8be4-3441-5216	1
e01f273aa1617843e68501ccee4ef18a<::>3	c41add8034d82d3f-2812-4704	1
6029c40188fcdef681e502df36b37889<::>3	b590fb6485ce9942-2747-4458	1
6029c40188fcdef681e502df36b37889<::>3	b19a6597b6916124-1529-3547	1
6029c40188fcdef681e502df36b37889<::>3	7db93570207c64fa-5-1815	1
d6c462068a1890b9437ed11784b9a69e<::>2	b492cda551d789d0-3518-5447	1
d6c462068a1890b9437ed11784b9a69e<::>2	6ab2a9a5d696da33-5567-7533	1
77587e417e37aa901ccb90dd07cf29e8<::>3	9b3df447d333ae7a-56307-58239	1
7eaf4e83c26eb39a908ed49f708e16e6<::>6	b89841e0c5f8920f-7427-9826	1
7eaf4e83c26eb39a908ed49f708e16e6<::>6	a2150d5e7dbf5f53-3411-5629	1
8573d7e08d6b7f0ca61405e3585bc631<::>3	2251c4827c59360d-9487-11504	1
8573d7e08d6b7f0ca61405e3585bc631<::>3	2251c4827c59360d-14377-15067	1
1c9999447de5100b82e7ac6a5c1755ee<::>7	b219caeb7614d88f-7615-10170	1
1c9999447de5100b82e7ac6a5c1755ee<::>7	b219caeb7614d88f-9658-12038	1
e539ef70be67a3f6c98402b0d220c814<::>8	8c3800a0c66b8788-3057-5065	1
e539ef70be67a3f6c98402b0d220c814<::>8	d417167574ff0d80-1567-3683	1
e539ef70be67a3f6c98402b0d220c814<::>8	d417167574ff0d80-3211-5168	1
e539ef70be67a3f6c98402b0d220c814<::>8	712a92e8d5dc6ee6-15344-17251	1
e539ef70be67a3f6c98402b0d220c814<::>8	eb01ad726a3cf737-1621-2994	1
e539ef70be67a3f6c98402b0d220c814<::>8	b02bc0a046d65fcf-1635-3693	1
bb426f8ffccdd088ea2b00a6e4228000<::>7	792d6c04fa5e52e8-11124-13055	1
