domain,strategy,NDCG@1,NDCG@3,NDCG@5,NDCG@10,Recall@1,Recall@3,Recall@5,Recall@10
fiqa,legacy,0.22222,0.19141,0.1977,0.22867,0.09542,0.17107,0.19848,0.27187
fiqa,small,0.18889,0.17858,0.19183,0.21688,0.07306,0.17459,0.2132,0.26709
fiqa,large,0.22778,0.19737,0.20355,0.23426,0.09728,0.17829,0.20496,0.27714
fiqa,multiscale,0.18889,0.17858,0.19183,0.21688,0.07306,0.17459,0.2132,0.26709
clapnq,legacy,0.33654,0.32699,0.34721,0.39591,0.14348,0.30594,0.37445,0.48884
clapnq,small,0.29808,0.25423,0.2793,0.3223,0.11799,0.22709,0.29625,0.39541
clapnq,large,0.37019,0.34095,0.35976,0.40774,0.15309,0.31596,0.3819,0.49333
clapnq,multiscale,0.29808,0.25423,0.2793,0.3223,0.11799,0.22709,0.29625,0.39541
cloud,legacy,0.19149,0.18548,0.20416,0.24395,0.08874,0.18179,0.23122,0.32351
cloud,small,0.12766,0.11637,0.14138,0.1785,0.06844,0.11454,0.16356,0.25505
cloud,large,0.23404,0.2058,0.22913,0.26157,0.11534,0.19447,0.24966,0.32625
cloud,multiscale,0.12766,0.11637,0.14138,0.1785,0.06844,0.11454,0.16356,0.25505
govt,legacy,0.1791,0.1774,0.20955,0.25278,0.08242,0.16891,0.24185,0.34211
govt,small,0.23881,0.19874,0.22848,0.268,0.10445,0.18098,0.24732,0.34799
govt,large,0.22886,0.21527,0.24492,0.27829,0.1076,0.20155,0.27576,0.35294
govt,multiscale,0.23881,0.19874,0.22848,0.268,0.10445,0.18098,0.24732,0.34799
