task,domain,strategy,n,faithfulness_mean,answer_relevance_mean,context_usefulness_mean,completeness_mean,hallucination_yes_rate,hallucination_partial_rate
c,clapnq,large,20,3.25,4.2,3.45,3.35,0.0,0.05
c,clapnq,legacy,20,3.3,4.15,3.35,3.45,0.05,0.0
c,clapnq,multiscale,20,3.25,4.15,3.3,3.3,0.15,0.05
c,clapnq,noretrieval,20,2.4,2.8,2.3,2.5,0.05,0.1
c,clapnq,small,20,3.2,3.9,3.15,3.25,0.15,0.05
c,cloud,large,20,3.5,4.55,3.3,3.6,0.05,0.1
c,cloud,legacy,20,3.6,4.65,3.3,3.65,0.1,0.0
c,cloud,multiscale,20,2.95,3.2,2.5,2.6,0.4,0.0
c,cloud,noretrieval,20,2.85,3.85,2.7,3.0,0.1,0.05
c,cloud,small,20,3.25,4.2,3.2,3.15,0.1,0.05
c,fiqa,large,20,3.0,3.9,3.05,3.1,0.05,0.15
c,fiqa,legacy,20,2.9,3.65,3.0,2.9,0.05,0.15
c,fiqa,multiscale,20,2.95,3.6,2.7,3.0,0.05,0.15
c,fiqa,noretrieval,20,2.8,3.45,2.65,2.7,0.1,0.05
c,fiqa,small,20,2.95,3.65,2.65,2.95,0.05,0.1
c,govt,large,20,2.8,3.35,2.95,2.75,0.15,0.0
c,govt,legacy,20,2.8,3.3,2.65,2.75,0.1,0.0
c,govt,multiscale,20,2.8,2.9,2.3,2.45,0.2,0.0
c,govt,noretrieval,20,2.05,2.9,1.5789,2.15,0.1,0.0
c,govt,small,20,2.65,3.0,2.6,2.45,0.1,0.0
